Fecha,Noroeste monÛxido de carbono,Noreste monÛxido de carbono,Centro monÛxido de carbono,Suroeste monÛxido de carbono,Sureste monÛxido de carbono
29/04/22,,6.416666667,5.666666667,5.125,4.458333333
30/04/22,6,7.541666667,6.916666667,4.416666667,4.416666667
01/05/22,3.208333333,4.666666667,4.625,2.708333333,3.708333333
02/05/22,4.916666667,5.25,5.333333333,3.208333333,3.958333333
03/05/22,5.611111111,6.222222222,5.166666667,3.944444444,6.277777778
04/05/22,5.416666667,4.916666667,4.458333333,4.416666667,4
05/05/22,5.958333333,5.541666667,5.25,4,5.791666667
06/05/22,4.875,5.291666667,5.041666667,3.541666667,6.583333333
07/05/22,4.083333333,5.291666667,5.083333333,2.375,5.125
08/05/22,3.583333333,4.375,5.375,2.958333333,4.166666667
09/05/22,5.444444444,7.388888889,6.888888889,4.166666667,5.833333333
10/05/22,4.166666667,6.375,5.416666667,2.958333333,4.708333333
11/05/22,2.875,3.041666667,2.833333333,1.958333333,3.5
12/05/22,3.083333333,3.166666667,3.291666667,2.083333333,3.416666667
13/05/22,4.416666667,4.958333333,4.125,3.083333333,3.25
14/05/22,4.25,6.125,5.791666667,3.208333333,4.791666667
15/05/22,3.111111111,4.055555556,3.888888889,2.666666667,3.111111111
16/05/22,4.208333333,4.916666667,4.25,2.958333333,3.833333333
17/05/22,5.291666667,4.083333333,4.583333333,3.375,4.25
18/05/22,5.666666667,5.916666667,5.458333333,3.5,4.666666667
19/05/22,4.458333333,4.625,4.541666667,3.25,4
20/05/22,5.208333333,3.583333333,4.625,3.166666667,4.666666667
21/05/22,4.222222222,4.722222222,6.222222222,2.777777778,5.666666667
22/05/22,4,5.541666667,5.666666667,3.208333333,6.708333333
23/05/22,4.041666667,4.208333333,4.291666667,3.375,5.458333333
24/05/22,4.916666667,5.125,5.083333333,4.583333333,5.666666667
25/05/22,8.833333333,5.791666667,6.958333333,4.041666667,6.083333333
26/05/22,3.208333333,3.291666667,3,2.625,3.75
27/05/22,2.444444444,2.888888889,2.388888889,1.944444444,3.555555556
28/05/22,2.25,3.5,2.625,1.916666667,3.291666667
29/05/22,2.666666667,3.625,3.666666667,2.291666667,3.333333333
30/05/22,3.5,3.875,3.375,2.916666667,3.416666667
31/05/22,3.041666667,4.125,3.666666667,2.25,3.666666667
01/06/22,2.958333333,4.416666667,4.041666667,2.791666667,5.166666667
02/06/22,3.333333333,3.722222222,2.722222222,2,4.388888889
03/06/22,2.75,3.791666667,3.208333333,2.583333333,6.375
04/06/22,3.125,4.708333333,3.833333333,3.291666667,4.333333333
05/06/22,2.833333333,4.125,3.958333333,2.791666667,4.458333333
06/06/22,3.875,5.875,4.833333333,2.958333333,4.875
07/06/22,3.875,6.875,5.166666667,3.541666667,5.875
08/06/22,4.388888889,,4.333333333,3.722222222,4.666666667
09/06/22,3.916666667,4.583333333,3.666666667,2.625,4.875
10/06/22,4.416666667,5.25,3.791666667,3.375,5.791666667
11/06/22,4.375,5.75,5.083333333,3.125,5.666666667
12/06/22,2.916666667,3.208333333,3,2.833333333,3.541666667
13/06/22,4.625,5.041666667,5.125,3.083333333,4.833333333
14/06/22,4.111111111,4.611111111,3.916666667,4.055555556,4.277777778
15/06/22,3.625,3.958333333,4.166666667,3.375,4.166666667
16/06/22,4.208333333,5.041666667,4.375,2.75,5
17/06/22,3.666666667,5.041666667,4.666666667,3.166666667,3.5
18/06/22,3.208333333,4.708333333,4.041666667,2.583333333,3.208333333
19/06/22,2.75,3.666666667,3.041666667,2.458333333,3.041666667
20/06/22,3.722222222,3.791666667,3.5,2.888888889,5.222222222
21/06/22,3.333333333,3.708333333,3.791666667,2.5,3.5
22/06/22,3.5,3.75,3.875,3.083333333,4.166666667
23/06/22,3.666666667,4.333333333,3.625,2.916666667,4.5
24/06/22,4.416666667,4.541666667,3.875,3.708333333,3.875
25/06/22,5.25,5.958333333,4.833333333,4.5,3.791666667
26/06/22,4.333333333,5.833333333,4,2.833333333,4.277777778
27/06/22,3.333333333,3.416666667,3,1.833333333,4.666666667
28/06/22,3.958333333,4.25,3.875,2.541666667,4.833333333
29/06/22,4.916666667,5,4.166666667,2.958333333,5.083333333
30/06/22,3.541666667,3.666666667,3.416666667,2.583333333,4.666666667
01/07/22,4.416666667,5,5.291666667,4.083333333,5.875
02/07/22,5.222222222,6.5,6.333333333,3.777777778,6.166666667
03/07/22,2.708333333,3.333333333,2.875,2,3
04/07/22,3.041666667,2.958333333,3.375,2.25,2.958333333
05/07/22,5.25,4.333333333,4.458333333,3.583333333,
06/07/22,4.125,4.833333333,4.5,3.375,5.166666667
07/07/22,3.666666667,3.625,4.125,3.166666667,4.666666667
08/07/22,4.055555556,4.111111111,4.166666667,3.222222222,4.722222222
09/07/22,3.541666667,4.375,3.375,1.791666667,3.75
10/07/22,3.583333333,3.875,3.5,1.875,4.041666667
11/07/22,4.375,4.375,3.916666667,2.708333333,3.916666667
12/07/22,5.458333333,6,5.125,3.375,5.458333333
13/07/22,3.791666667,3.75,3.333333333,2.416666667,5.125
14/07/22,3.833333333,4.277777778,3.833333333,3.333333333,4.888888889
15/07/22,4.041666667,4.541666667,3.708333333,2.791666667,4.958333333
16/07/22,4.25,5.125,4.833333333,3.166666667,5.291666667
17/07/22,3.125,3.166666667,3.708333333,2.208333333,4.083333333
18/07/22,6,6.166666667,6.416666667,4.5,6.75
19/07/22,5.333333333,6,5.666666667,3.791666667,6.833333333
20/07/22,5.458333333,5.333333333,4.75,3.5,5.388888889
21/07/22,4.708333333,5.333333333,3.625,3.083333333,4.916666667
22/07/22,4.083333333,4.291666667,3.75,3.291666667,4.833333333
23/07/22,3.458333333,4.041666667,3.166666667,1.958333333,4.291666667
24/07/22,2.625,3.041666667,3.166666667,2.208333333,3.208333333
25/07/22,3.25,3.791666667,3.291666667,3,4.541666667
26/07/22,4.444444444,4.722222222,4.041666667,3,4.944444444
27/07/22,3.708333333,4.083333333,4.041666667,3.041666667,4
28/07/22,6.416666667,7.041666667,7.833333333,4.958333333,6.5
29/07/22,6.041666667,6.5,7.291666667,4.375,5.583333333
30/07/22,3.916666667,4.75,,3.416666667,5.416666667
31/07/22,2.208333333,2.125,2.208333333,1.708333333,2.75
01/08/22,4.055555556,4.5,3.125,3.611111111,4.888888889
02/08/22,4.25,4.875,5.5,4.291666667,5.916666667
03/08/22,5.708333333,5.791666667,5.666666667,3.916666667,5.25
04/08/22,4.791666667,5.916666667,6.375,4.291666667,4.833333333
05/08/22,4.291666667,4.125,4.791666667,3.791666667,6.625
06/08/22,3.291666667,3.791666667,3.375,2.833333333,3.958333333
07/08/22,2.888888889,4.055555556,3.555555556,2.611111111,3.555555556
08/08/22,2.791666667,3.75,3.541666667,2.75,5.125
09/08/22,4.083333333,4.416666667,4.083333333,3.5,4.708333333
10/08/22,5.333333333,5.416666667,5.416666667,3.916666667,4.875
11/08/22,2.625,3.291666667,3.416666667,2.5,4.75
12/08/22,3.166666667,2.875,4.333333333,3.166666667,3.416666667
13/08/22,4.833333333,5.722222222,5.277777778,4.166666667,4.833333333
14/08/22,4.541666667,4.333333333,4.583333333,4.041666667,2.875
15/08/22,4.291666667,4.25,4.166666667,3.458333333,2.958333333
16/08/22,6.416666667,5.333333333,6.291666667,4.666666667,4.875
17/08/22,6.875,5.583333333,5.875,4.791666667,5.208333333
18/08/22,4.666666667,4.291666667,4.5,3.75,4.25
19/08/22,7.111111111,9.166666667,7.208333333,6,7.777777778
20/08/22,4.416666667,4.375,3.541666667,3.375,2.875
21/08/22,3.958333333,4.083333333,4.25,4.083333333,4.166666667
22/08/22,5.125,6.166666667,5.625,4.416666667,6.208333333
23/08/22,5.5,3.833333333,4.125,3.625,3.625
24/08/22,4.75,4.833333333,4.458333333,3.625,5.333333333
25/08/22,4.055555556,3.833333333,3.055555556,3.111111111,4.222222222
26/08/22,3.833333333,3.833333333,3.291666667,2.541666667,5.833333333
27/08/22,6.166666667,8.291666667,7.125,5.25,6.25
28/08/22,4.125,5.041666667,3.375,3.333333333,3.916666667
29/08/22,4.666666667,5.416666667,4.666666667,4.833333333,4.458333333
30/08/22,5.625,5.625,4.583333333,3.541666667,4.416666667
31/08/22,5.5,5.666666667,4.388888889,4.166666667,5.333333333
01/09/22,4.791666667,4.166666667,3.875,2.833333333,4.333333333
02/09/22,3.833333333,3.083333333,3.041666667,2.625,
03/09/22,3.083333333,3.625,3.166666667,2.5,3.666666667
04/09/22,3.083333333,3.458333333,3.5,2.333333333,3.625
05/09/22,6.458333333,4,4.666666667,3.208333333,3.083333333
06/09/22,6.555555556,6.277777778,6.611111111,5.388888889,4.944444444
07/09/22,5.416666667,5.833333333,5.791666667,4.375,5.416666667
08/09/22,3.958333333,4.333333333,4.416666667,3.375,4.125
09/09/22,5.333333333,6.333333333,5.625,3.708333333,4.75
10/09/22,4.666666667,6.625,5.791666667,4.041666667,6.291666667
11/09/22,1.958333333,3.083333333,3.25,1.833333333,3.333333333
12/09/22,2.333333333,3.722222222,3.388888889,3,3.777777778
13/09/22,3.25,3.333333333,3.791666667,3.625,3.958333333
14/09/22,3.291666667,3.541666667,3.791666667,3.708333333,4.75
15/09/22,2.875,3.458333333,4.041666667,3.041666667,4.541666667
16/09/22,1.708333333,3,2.25,2.333333333,3.708333333
17/09/22,2.125,4.166666667,3.333333333,2.291666667,4.541666667
18/09/22,3.388888889,5.611111111,4.708333333,3.055555556,4.111111111
19/09/22,3.625,6.5,5.291666667,3.916666667,6.583333333
20/09/22,2.416666667,3.875,4.125,2.625,6.375
21/09/22,1.916666667,2.916666667,3.416666667,2.5,4.333333333
22/09/22,2.625,3,2.5,2.458333333,2.541666667
23/09/22,3.791666667,3.375,3.291666667,2.583333333,5.041666667
24/09/22,3.666666667,4.888888889,4.666666667,3.722222222,4.611111111
25/09/22,4.083333333,5.25,4.541666667,3.083333333,4.75
26/09/22,3.083333333,3.125,3.25,2.75,3.708333333
27/09/22,3.333333333,3.625,3.583333333,2.25,3.25
28/09/22,3.5,3.833333333,3.791666667,2.791666667,3.416666667
29/09/22,3.166666667,2.666666667,2.916666667,3.291666667,2.791666667
30/09/22,3.541666667,4.833333333,4.111111111,3.833333333,4.444444444
01/10/22,4.875,6.833333333,4.125,3.583333333,5.583333333
02/10/22,4.166666667,5.666666667,4.041666667,3.666666667,5.083333333
03/10/22,4.541666667,5.083333333,4.75,3.625,4.666666667
04/10/22,6.208333333,4.708333333,5.291666667,5,5.958333333
05/10/22,6.166666667,5.375,6.25,4.583333333,6.208333333
06/10/22,4.166666667,4.333333333,5.111111111,4.666666667,5
07/10/22,3.5,4.041666667,3.958333333,3.541666667,6.25
08/10/22,1.75,2.708333333,3.333333333,3.166666667,3.125
09/10/22,1.958333333,2.666666667,2.583333333,2.375,2.375
10/10/22,3.25,3.25,3.791666667,2.875,2.958333333
11/10/22,4.583333333,5,5.541666667,3.625,3.958333333
12/10/22,6.055555556,5.555555556,5.888888889,4.388888889,4.611111111
13/10/22,5.375,7.083333333,4.875,4.375,4.833333333
14/10/22,6.083333333,6.208333333,5.041666667,5.416666667,4.875
15/10/22,4.958333333,5.958333333,4.083333333,4.5,4.625
16/10/22,4.416666667,4.875,3.875,4.166666667,4.5
17/10/22,6.666666667,7.916666667,6.25,4.583333333,6.416666667
18/10/22,4.722222222,5,5,4.166666667,5.222222222
